order,category,label,rating,maxPoints,points,description
1,organization,Organization & Formatting,Excellent,5,5,All formatting guidelines are followed; YAML is correctly filled out.
1,organization,Organization & Formatting,Good,5,4,Most formatting guidelines are followed; YAML is correctly filled out.
1,organization,Organization & Formatting,Needs work,5,3,Several or all formatting guidelines not followed; YAML contains elements that aren't updated from the template; template file wasn't used.
2,documentation,Data Documentation,Excellent,5,5,"Both data sources (Olympics results and population data) are clearly and accurately described, including where each was downloaded from."
2,documentation,Data Documentation,Good,5,4,Both data sources are described but one description is incomplete or slightly inaccurate.
2,documentation,Data Documentation,Needs work,5,3,"One or both data sources are missing, undocumented, or inaccurately described."
3,strategy,Strategy,Excellent,5,5,"A specific, numbered strategy is written before implementation; it correctly identifies how medals should be counted (not simply counting rows), how the two data sources will be joined, and how mismatched or ambiguous country names will be handled."
3,strategy,Strategy,Good,5,4,"A strategy is present and numbered, but is vague in places or misses one of the key judgment calls (medal counting, join approach, or name mismatches)."
3,strategy,Strategy,Needs work,5,3,"Strategy is missing, generic/copied from the assignment prompt, or clearly written after the code rather than guiding it."
4,explore,Explore,Excellent,10,9 - 10,"At least 2 clearly stated research questions are addressed, each using a genuinely different chart type (e.g. not two ranking charts); each is supported by an appropriately chosen chart and a written interpretation."
4,explore,Explore,Good,10,6 - 8,"Research questions are addressed, but two or more use the same chart type, or a chart/interpretation is weak or missing for one question."
4,explore,Explore,Needs work,10,0 - 5,"Fewer than 2 research questions are addressed, chart types are not meaningfully different, or charts/interpretations are missing."
5,interrogate,Interrogate,Excellent,10,9 - 10,"Medal counts are verified against the real, official Rio 2016 medal table for multiple countries; the join is checked for silently dropped or unmatched countries; the raw vs. per-capita medal ranking comparison is completed and clearly interpreted, including how and why the story changes."
5,interrogate,Interrogate,Good,10,6 - 8,"Some verification is present (e.g. medal counts or join check) but incomplete, or the raw vs. per-capita comparison is present but the interpretation is thin or doesn't explain why the rankings differ."
5,interrogate,Interrogate,Needs work,10,0 - 5,"No real verification beyond visual inspection; medal counts are not checked against an external source; the raw vs. per-capita comparison is missing or superficial."
6,technical,Technical & Process,Excellent,5,5,"All code runs without errors; the submitted .zip contains exactly report.qmd, report.html, transcript.md, and my_clean_data.csv."
6,technical,Technical & Process,Good,5,4,"Code has only one or two errors, otherwise runs; the submitted .zip is missing one of the four required files or includes extra clutter."
6,technical,Technical & Process,Needs work,5,3,"Code has multiple errors; html file cannot be rendered without significant changes; the submitted .zip is missing report.qmd, report.html, transcript.md, or my_clean_data.csv."
